time,v_1,v_2,i_1,res,pres,pcap,ptot
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00001,52.00000,0.00052,1.67740,51.99948,87.22405,0.00088,87.22493
0.00002,52.00000,0.00105,1.67739,51.99895,87.22229,0.00176,87.22405
0.00003,52.00000,0.00157,1.67737,51.99843,87.22053,0.00264,87.22317
0.00004,52.00000,0.00210,1.67735,51.99790,87.21877,0.00352,87.22229
0.00005,52.00000,0.00262,1.67733,51.99738,87.21701,0.00440,87.22141
0.00006,52.00000,0.00315,1.67732,51.99686,87.21526,0.00528,87.22053
0.00007,52.00000,0.00367,1.67730,51.99633,87.21350,0.00615,87.21965
0.00008,52.00000,0.00419,1.67728,51.99581,87.21174,0.00703,87.21877
0.00009,52.00000,0.00472,1.67727,51.99528,87.20998,0.00791,87.21789
0.00010,52.00000,0.00524,1.67725,51.99476,87.20822,0.00879,87.21701
0.00011,52.00000,0.00577,1.67723,51.99424,87.20647,0.00967,87.21614
0.00012,52.00000,0.00629,1.67722,51.99371,87.20470,0.01055,87.21525
0.00013,52.00000,0.00681,1.67720,51.99319,87.20295,0.01143,87.21438
0.00014,52.00000,0.00734,1.67718,51.99266,87.20119,0.01231,87.21350
0.00015,52.00000,0.00786,1.67717,51.99214,87.19943,0.01319,87.21262
0.00016,52.00000,0.00839,1.67715,51.99162,87.19768,0.01407,87.21174
0.00017,52.00000,0.00891,1.67713,51.99109,87.19591,0.01494,87.21086
0.00018,52.00000,0.00943,1.67712,51.99057,87.19416,0.01582,87.20998
0.00019,52.00000,0.00996,1.67710,51.99004,87.19239,0.01670,87.20910
0.00020,52.00000,0.01048,1.67708,51.98952,87.19064,0.01758,87.20822
0.00021,52.00000,0.01101,1.67706,51.98899,87.18889,0.01846,87.20735
0.00022,52.00000,0.01153,1.67705,51.98847,87.18712,0.01934,87.20646
0.00023,52.00000,0.01205,1.67703,51.98795,87.18537,0.02022,87.20559
0.00024,52.00000,0.01258,1.67701,51.98742,87.18360,0.02110,87.20470
0.00025,52.00000,0.01310,1.67700,51.98690,87.18185,0.02197,87.20383
0.00026,52.00000,0.01363,1.67698,51.98637,87.18010,0.02285,87.20295
0.00027,52.00000,0.01415,1.67696,51.98585,87.17833,0.02373,87.20207
0.00028,52.00000,0.01468,1.67695,51.98532,87.17658,0.02461,87.20119
0.00029,52.00000,0.01520,1.67693,51.98480,87.17483,0.02549,87.20031
0.00030,52.00000,0.01572,1.67691,51.98428,87.17306,0.02637,87.19943
0.00031,52.00000,0.01625,1.67690,51.98375,87.17131,0.02725,87.19855
0.00032,52.00000,0.01677,1.67688,51.98323,87.16954,0.02812,87.19767
0.00033,52.00000,0.01730,1.67686,51.98270,87.16779,0.02900,87.19679
0.00034,52.00000,0.01782,1.67684,51.98218,87.16604,0.02988,87.19592
0.00035,52.00000,0.01834,1.67683,51.98166,87.16427,0.03076,87.19503
0.00036,52.00000,0.01887,1.67681,51.98113,87.16252,0.03164,87.19416
0.00037,52.00000,0.01939,1.67679,51.98061,87.16077,0.03252,87.19328
0.00038,52.00000,0.01992,1.67678,51.98008,87.15900,0.03339,87.19240
0.00039,52.00000,0.02044,1.67676,51.97956,87.15725,0.03427,87.19152
0.00040,52.00000,0.02096,1.67674,51.97904,87.15550,0.03515,87.19064
0.00041,52.00000,0.02149,1.67673,51.97851,87.15373,0.03603,87.18976
0.00042,52.00000,0.02201,1.67671,51.97799,87.15198,0.03691,87.18889
0.00043,52.00000,0.02254,1.67669,51.97747,87.15023,0.03778,87.18801
0.00044,52.00000,0.02306,1.67668,51.97694,87.14846,0.03866,87.18713
0.00045,52.00000,0.02358,1.67666,51.97642,87.14671,0.03954,87.18625
0.00046,52.00000,0.02411,1.67664,51.97589,87.14494,0.04042,87.18537
0.00047,52.00000,0.02463,1.67662,51.97537,87.14319,0.04130,87.18449
0.00048,52.00000,0.02516,1.67661,51.97485,87.14144,0.04218,87.18361
0.00049,52.00000,0.02568,1.67659,51.97432,87.13967,0.04305,87.18273
0.00050,52.00000,0.02620,1.67657,51.97380,87.13792,0.04393,87.18185
0.00051,52.00000,0.02673,1.67656,51.97327,87.13617,0.04481,87.18098
0.00052,52.00000,0.02725,1.67654,51.97275,87.13440,0.04569,87.18009
0.00053,52.00000,0.02777,1.67652,51.97223,87.13265,0.04656,87.17922
0.00054,52.00000,0.02830,1.67651,51.97170,87.13090,0.04744,87.17834
0.00055,52.00000,0.02882,1.67649,51.97118,87.12913,0.04832,87.17746
0.00056,52.00000,0.02935,1.67647,51.97065,87.12738,0.04920,87.17658
0.00057,52.00000,0.02987,1.67646,51.97013,87.12563,0.05008,87.17570
0.00058,52.00000,0.03039,1.67644,51.96960,87.12386,0.05095,87.17482
0.00059,52.00000,0.03092,1.67642,51.96908,87.12211,0.05183,87.17394
0.00060,52.00000,0.03144,1.67641,51.96856,87.12036,0.05271,87.17307
0.00061,52.00000,0.03197,1.67639,51.96803,87.11859,0.05359,87.17218
0.00062,52.00000,0.03249,1.67637,51.96751,87.11684,0.05446,87.17131
0.00063,52.00000,0.03301,1.67635,51.96699,87.11509,0.05534,87.17043
0.00064,52.00000,0.03354,1.67634,51.96646,87.11333,0.05622,87.16955
0.00065,52.00000,0.03406,1.67632,51.96594,87.11157,0.05710,87.16867
0.00066,52.00000,0.03459,1.67630,51.96542,87.10982,0.05798,87.16779
0.00067,52.00000,0.03511,1.67629,51.96489,87.10806,0.05885,87.16691
0.00068,52.00000,0.03563,1.67627,51.96437,87.10630,0.05973,87.16603
0.00069,52.00000,0.03616,1.67625,51.96384,87.10455,0.06061,87.16516
0.00070,52.00000,0.03668,1.67624,51.96332,87.10279,0.06148,87.16428
0.00071,52.00000,0.03720,1.67622,51.96280,87.10104,0.06236,87.16340
0.00072,52.00000,0.03773,1.67620,51.96227,87.09928,0.06324,87.16252
0.00073,52.00000,0.03825,1.67619,51.96175,87.09753,0.06412,87.16165
0.00074,52.00000,0.03878,1.67617,51.96122,87.09577,0.06499,87.16076
0.00075,52.00000,0.03930,1.67615,51.96070,87.09401,0.06587,87.15989
0.00076,52.00000,0.03982,1.67613,51.96018,87.09226,0.06675,87.15901
0.00077,52.00000,0.04035,1.67612,51.95965,87.09050,0.06763,87.15813
0.00078,52.00000,0.04087,1.67610,51.95913,87.08875,0.06850,87.15725
0.00079,52.00000,0.04139,1.67608,51.95861,87.08699,0.06938,87.15637
0.00080,52.00000,0.04192,1.67607,51.95808,87.08523,0.07026,87.15549
0.00081,52.00000,0.04244,1.67605,51.95756,87.08348,0.07114,87.15461
0.00082,52.00000,0.04297,1.67603,51.95704,87.08173,0.07201,87.15374
0.00083,52.00000,0.04349,1.67602,51.95651,87.07996,0.07289,87.15285
0.00084,52.00000,0.04401,1.67600,51.95599,87.07821,0.07377,87.15198
0.00085,52.00000,0.04454,1.67598,51.95546,87.07646,0.07464,87.15110
0.00086,52.00000,0.04506,1.67597,51.95494,87.07471,0.07552,87.15022
0.00087,52.00000,0.04558,1.67595,51.95441,87.07294,0.07640,87.14934
0.00088,52.00000,0.04611,1.67593,51.95389,87.07119,0.07727,87.14846
0.00089,52.00000,0.04663,1.67592,51.95337,87.06944,0.07815,87.14759
0.00090,52.00000,0.04716,1.67590,51.95284,87.06767,0.07903,87.14670
0.00091,52.00000,0.04768,1.67588,51.95232,87.06592,0.07991,87.14583
0.00092,52.00000,0.04820,1.67586,51.95180,87.06417,0.08078,87.14495
0.00093,52.00000,0.04873,1.67585,51.95127,87.06242,0.08166,87.14407
0.00094,52.00000,0.04925,1.67583,51.95075,87.06065,0.08254,87.14319
0.00095,52.00000,0.04977,1.67581,51.95023,87.05890,0.08341,87.14231
0.00096,52.00000,0.05030,1.67580,51.94970,87.05715,0.08429,87.14144
0.00097,52.00000,0.05082,1.67578,51.94918,87.05539,0.08517,87.14055
0.00098,52.00000,0.05135,1.67576,51.94865,87.05363,0.08604,87.13968
0.00099,52.00000,0.05187,1.67575,51.94813,87.05188,0.08692,87.13880
0.00100,52.00000,0.05239,1.67573,51.94761,87.05013,0.08780,87.13792
0.00101,52.00000,0.05292,1.67571,51.94708,87.04837,0.08867,87.13704
0.00102,52.00000,0.05344,1.67570,51.94656,87.04662,0.08955,87.13617
0.00103,52.00000,0.05396,1.67568,51.94604,87.04486,0.09043,87.13529
0.00104,52.00000,0.05449,1.67566,51.94551,87.04310,0.09130,87.13441
0.00105,52.00000,0.05501,1.67564,51.94499,87.04135,0.09218,87.13353
0.00106,52.00000,0.05553,1.67563,51.94447,87.03960,0.09306,87.13265
0.00107,52.00000,0.05606,1.67561,51.94394,87.03785,0.09393,87.13178
0.00108,52.00000,0.05658,1.67559,51.94342,87.03608,0.09481,87.13089
0.00109,52.00000,0.05711,1.67558,51.94289,87.03433,0.09568,87.13002
0.00110,52.00000,0.05763,1.67556,51.94237,87.03258,0.09656,87.12914
0.00111,52.00000,0.05815,1.67554,51.94185,87.03083,0.09744,87.12826
0.00112,52.00000,0.05868,1.67553,51.94132,87.02906,0.09831,87.12738
0.00113,52.00000,0.05920,1.67551,51.94080,87.02731,0.09919,87.12650
0.00114,52.00000,0.05972,1.67549,51.94028,87.02556,0.10007,87.12563
0.00115,52.00000,0.06025,1.67548,51.93975,87.02381,0.10094,87.12475
0.00116,52.00000,0.06077,1.67546,51.93923,87.02205,0.10182,87.12387
0.00117,52.00000,0.06129,1.67544,51.93871,87.02029,0.10269,87.12299
0.00118,52.00000,0.06182,1.67543,51.93818,87.01854,0.10357,87.12211
0.00119,52.00000,0.06234,1.67541,51.93766,87.01679,0.10445,87.12124
0.00120,52.00000,0.06286,1.67539,51.93713,87.01503,0.10532,87.12035
0.00121,52.00000,0.06339,1.67537,51.93661,87.01328,0.10620,87.11948
0.00122,52.00000,0.06391,1.67536,51.93609,87.01153,0.10708,87.11860
0.00123,52.00000,0.06444,1.67534,51.93557,87.00977,0.10795,87.11772
0.00124,52.00000,0.06496,1.67532,51.93504,87.00801,0.10883,87.11684
0.00125,52.00000,0.06548,1.67531,51.93452,87.00626,0.10970,87.11596
0.00126,52.00000,0.06601,1.67529,51.93399,87.00451,0.11058,87.11509
0.00127,52.00000,0.06653,1.67527,51.93347,87.00276,0.11146,87.11421
0.00128,52.00000,0.06705,1.67526,51.93295,87.00099,0.11233,87.11333
0.00129,52.00000,0.06758,1.67524,51.93242,86.99924,0.11321,87.11245
0.00130,52.00000,0.06810,1.67522,51.93190,86.99749,0.11408,87.11157
0.00131,52.00000,0.06862,1.67521,51.93138,86.99574,0.11496,87.11070
0.00132,52.00000,0.06915,1.67519,51.93085,86.99399,0.11583,87.10982
0.00133,52.00000,0.06967,1.67517,51.93033,86.99223,0.11671,87.10894
0.00134,52.00000,0.07019,1.67516,51.92981,86.99048,0.11759,87.10806
0.00135,52.00000,0.07072,1.67514,51.92928,86.98872,0.11846,87.10718
0.00136,52.00000,0.07124,1.67512,51.92876,86.98697,0.11934,87.10631
0.00137,52.00000,0.07176,1.67510,51.92823,86.98521,0.12021,87.10542
0.00138,52.00000,0.07229,1.67509,51.92771,86.98346,0.12109,87.10455
0.00139,52.00000,0.07281,1.67507,51.92719,86.98171,0.12196,87.10367
0.00140,52.00000,0.07333,1.67505,51.92667,86.97996,0.12284,87.10280
