time,v_1,v_2,i_1
0.00000,0.00000,0.00000,0.00000
0.00050,5.00000,0.04950,0.49505
0.00100,5.00000,0.09852,0.49015
0.00150,5.00000,0.14705,0.48530
0.00200,5.00000,0.19510,0.48049
0.00250,5.00000,0.24267,0.47573
0.00300,5.00000,0.28977,0.47102
0.00350,5.00000,0.33641,0.46636
0.00400,5.00000,0.38258,0.46174
0.00450,5.00000,0.42830,0.45717
0.00500,5.00000,0.47357,0.45264
0.00550,5.00000,0.51838,0.44816
0.00600,5.00000,0.56275,0.44372
0.00650,5.00000,0.60669,0.43933
0.00700,5.00000,0.65019,0.43498
0.00750,5.00000,0.69325,0.43067
0.00800,5.00000,0.73589,0.42641
0.00850,5.00000,0.77811,0.42219
0.00900,5.00000,0.81991,0.41801
0.00950,5.00000,0.86130,0.41387
0.01000,5.00000,0.90228,0.40977
0.01050,5.00000,0.94285,0.40572
0.01100,5.00000,0.98302,0.40170
0.01150,5.00000,1.02279,0.39772
0.01200,5.00000,1.06217,0.39378
0.01250,5.00000,1.10116,0.38988
0.01300,5.00000,1.13976,0.38602
0.01350,5.00000,1.17798,0.38220
0.01400,5.00000,1.21582,0.37842
0.01450,5.00000,1.25329,0.37467
0.01500,5.00000,1.29039,0.37096
0.01550,5.00000,1.32711,0.36729
0.01600,5.00000,1.36348,0.36365
0.01650,5.00000,1.39948,0.36005
0.01700,5.00000,1.43513,0.35649
0.01750,5.00000,1.47043,0.35296
0.01800,5.00000,1.50538,0.34946
0.01850,5.00000,1.53998,0.34600
0.01900,5.00000,1.57423,0.34258
0.01950,5.00000,1.60815,0.33918
0.02000,5.00000,1.64173,0.33583
0.02050,5.00000,1.67499,0.33250
0.02100,5.00000,1.70791,0.32921
0.02150,5.00000,1.74050,0.32595
0.02200,5.00000,1.77277,0.32272
0.02250,5.00000,1.80473,0.31953
0.02300,5.00000,1.83636,0.31636
0.02350,5.00000,1.86769,0.31323
0.02400,5.00000,1.89870,0.31013
0.02450,5.00000,1.92940,0.30706
0.02500,5.00000,1.95981,0.30402
0.02550,5.00000,1.98991,0.30101
0.02600,5.00000,2.01971,0.29803
0.02650,5.00000,2.04922,0.29508
0.02700,5.00000,2.07843,0.29216
0.02750,5.00000,2.10736,0.28926
0.02800,5.00000,2.13600,0.28640
0.02850,5.00000,2.16436,0.28356
0.02900,5.00000,2.19243,0.28076
0.02950,5.00000,2.22023,0.27798
0.03000,5.00000,2.24775,0.27522
0.03050,5.00000,2.27500,0.27250
0.03100,5.00000,2.30198,0.26980
0.03150,5.00000,2.32870,0.26713
0.03200,5.00000,2.35514,0.26449
0.03250,5.00000,2.38133,0.26187
0.03300,5.00000,2.40726,0.25927
0.03350,5.00000,2.43293,0.25671
0.03400,5.00000,2.45835,0.25417
0.03450,5.00000,2.48351,0.25165
0.03500,5.00000,2.50843,0.24916
0.03550,5.00000,2.53310,0.24669
0.03600,5.00000,2.55752,0.24425
0.03650,5.00000,2.58170,0.24183
0.03700,5.00000,2.60565,0.23944
0.03750,5.00000,2.62935,0.23706
0.03800,5.00000,2.65283,0.23472
0.03850,5.00000,2.67606,0.23239
0.03900,5.00000,2.69907,0.23009
0.03950,5.00000,2.72186,0.22781
0.04000,5.00000,2.74441,0.22556
0.04050,5.00000,2.76674,0.22333
0.04100,5.00000,2.78886,0.22111
0.04150,5.00000,2.81075,0.21893
0.04200,5.00000,2.83242,0.21676
0.04250,5.00000,2.85389,0.21461
0.04300,5.00000,2.87513,0.21249
0.04350,5.00000,2.89617,0.21038
0.04400,5.00000,2.91700,0.20830
0.04450,5.00000,2.93763,0.20624
0.04500,5.00000,2.95805,0.20420
0.04550,5.00000,2.97826,0.20217
0.04600,5.00000,2.99828,0.20017
0.04650,5.00000,3.01810,0.19819
0.04700,5.00000,3.03772,0.19623
0.04750,5.00000,3.05715,0.19428
0.04800,5.00000,3.07639,0.19236
0.04850,5.00000,3.09543,0.19046
0.04900,5.00000,3.11429,0.18857
0.04950,5.00000,3.13296,0.18670
0.05000,5.00000,3.15145,0.18486
0.05050,5.00000,3.16975,0.18303
0.05100,5.00000,3.18787,0.18121
0.05150,5.00000,3.20581,0.17942
0.05200,5.00000,3.22358,0.17764
0.05250,5.00000,3.24116,0.17588
0.05300,5.00000,3.25858,0.17414
0.05350,5.00000,3.27582,0.17242
0.05400,5.00000,3.29289,0.17071
0.05450,5.00000,3.30979,0.16902
0.05500,5.00000,3.32653,0.16735
0.05550,5.00000,3.34310,0.16569
0.05600,5.00000,3.35950,0.16405
0.05650,5.00000,3.37574,0.16243
0.05700,5.00000,3.39183,0.16082
0.05750,5.00000,3.40775,0.15923
0.05800,5.00000,3.42351,0.15765
0.05850,5.00000,3.43912,0.15609
0.05900,5.00000,3.45458,0.15454
0.05950,5.00000,3.46988,0.15301
0.06000,5.00000,3.48503,0.15150
0.06050,5.00000,3.50003,0.15000
0.06100,5.00000,3.51488,0.14851
0.06150,5.00000,3.52958,0.14704
0.06200,5.00000,3.54414,0.14559
0.06250,5.00000,3.55856,0.14414
0.06300,5.00000,3.57283,0.14272
0.06350,5.00000,3.58696,0.14130
0.06400,5.00000,3.60095,0.13991
0.06450,5.00000,3.61480,0.13852
0.06500,5.00000,3.62852,0.13715
0.06550,5.00000,3.64210,0.13579
0.06600,5.00000,3.65554,0.13445
0.06650,5.00000,3.66885,0.13311
0.06700,5.00000,3.68203,0.13180
0.06750,5.00000,3.69508,0.13049
0.06800,5.00000,3.70800,0.12920
0.06850,5.00000,3.72079,0.12792
0.06900,5.00000,3.73346,0.12665
0.06950,5.00000,3.74600,0.12540
0.07000,5.00000,3.75841,0.12416
0.07050,5.00000,3.77071,0.12293
0.07100,5.00000,3.78288,0.12171
0.07150,5.00000,3.79493,0.12051
0.07200,5.00000,3.80686,0.11931
0.07250,5.00000,3.81867,0.11813
0.07300,5.00000,3.83037,0.11696
0.07350,5.00000,3.84195,0.11580
0.07400,5.00000,3.85342,0.11466
0.07450,5.00000,3.86477,0.11352
0.07500,5.00000,3.87601,0.11240
0.07550,5.00000,3.88714,0.11129
0.07600,5.00000,3.89816,0.11018
0.07650,5.00000,3.90907,0.10909
0.07700,5.00000,3.91987,0.10801
0.07750,5.00000,3.93056,0.10694
0.07800,5.00000,3.94115,0.10588
0.07850,5.00000,3.95163,0.10484
0.07900,5.00000,3.96201,0.10380
0.07950,5.00000,3.97229,0.10277
0.08000,5.00000,3.98247,0.10175
0.08050,5.00000,3.99254,0.10075
0.08100,5.00000,4.00252,0.09975
0.08150,5.00000,4.01239,0.09876
0.08200,5.00000,4.02217,0.09778
0.08250,5.00000,4.03185,0.09681
0.08300,5.00000,4.04144,0.09586
0.08350,5.00000,4.05093,0.09491
0.08400,5.00000,4.06032,0.09397
0.08450,5.00000,4.06963,0.09304
0.08500,5.00000,4.07884,0.09212
0.08550,5.00000,4.08796,0.09120
0.08600,5.00000,4.09699,0.09030
0.08650,5.00000,4.10593,0.08941
0.08700,5.00000,4.11478,0.08852
0.08750,5.00000,4.12355,0.08765
0.08800,5.00000,4.13222,0.08678
0.08850,5.00000,4.14081,0.08592
0.08900,5.00000,4.14932,0.08507
0.08950,5.00000,4.15774,0.08423
0.09000,5.00000,4.16608,0.08339
0.09050,5.00000,4.17434,0.08257
0.09100,5.00000,4.18251,0.08175
0.09150,5.00000,4.19061,0.08094
0.09200,5.00000,4.19862,0.08014
0.09250,5.00000,4.20656,0.07934
0.09300,5.00000,4.21441,0.07856
0.09350,5.00000,4.22219,0.07778
0.09400,5.00000,4.22989,0.07701
0.09450,5.00000,4.23751,0.07625
0.09500,5.00000,4.24506,0.07549
0.09550,5.00000,4.25254,0.07475
0.09600,5.00000,4.25994,0.07401
0.09650,5.00000,4.26727,0.07327
0.09700,5.00000,4.27452,0.07255
0.09750,5.00000,4.28170,0.07183
0.09800,5.00000,4.28881,0.07112
0.09850,5.00000,4.29586,0.07041
0.09900,5.00000,4.30283,0.06972
0.09950,5.00000,4.30973,0.06903
0.10000,5.00000,4.31656,0.06834
0.10050,5.00000,4.32333,0.06767
0.10100,5.00000,4.33003,0.06700
0.10150,5.00000,4.33666,0.06633
0.10200,5.00000,4.34323,0.06568
0.10250,5.00000,4.34973,0.06503
0.10300,5.00000,4.35617,0.06438
0.10350,5.00000,4.36255,0.06375
0.10400,5.00000,4.36886,0.06311
0.10450,5.00000,4.37511,0.06249
0.10500,5.00000,4.38129,0.06187
0.10550,5.00000,4.38742,0.06126
0.10600,5.00000,4.39348,0.06065
0.10650,5.00000,4.39949,0.06005
0.10700,5.00000,4.40543,0.05946
0.10750,5.00000,4.41132,0.05887
0.10800,5.00000,4.41715,0.05829
0.10850,5.00000,4.42292,0.05771
0.10900,5.00000,4.42863,0.05714
0.10950,5.00000,4.43429,0.05657
0.11000,5.00000,4.43989,0.05601
0.11050,5.00000,4.44544,0.05546
0.11100,5.00000,4.45093,0.05491
0.11150,5.00000,4.45636,0.05436
0.11200,5.00000,4.46174,0.05383
0.11250,5.00000,4.46707,0.05329
0.11300,5.00000,4.47235,0.05276
0.11350,5.00000,4.47757,0.05224
0.11400,5.00000,4.48275,0.05173
0.11450,5.00000,4.48787,0.05121
0.11500,5.00000,4.49294,0.05071
0.11550,5.00000,4.49796,0.05020
0.11600,5.00000,4.50293,0.04971
0.11650,5.00000,4.50785,0.04922
0.11700,5.00000,4.51272,0.04873
0.11750,5.00000,4.51755,0.04825
0.11800,5.00000,4.52232,0.04777
0.11850,5.00000,4.52705,0.04729
0.11900,5.00000,4.53173,0.04683
0.11950,5.00000,4.53637,0.04636
0.12000,5.00000,4.54096,0.04590
0.12050,5.00000,4.54551,0.04545
0.12100,5.00000,4.55000,0.04500
0.12150,5.00000,4.55446,0.04455
0.12200,5.00000,4.55887,0.04411
0.12250,5.00000,4.56324,0.04368
0.12300,5.00000,4.56756,0.04324
0.12350,5.00000,4.57184,0.04282
0.12400,5.00000,4.57608,0.04239
0.12450,5.00000,4.58028,0.04197
0.12500,5.00000,4.58444,0.04156
0.12550,5.00000,4.58855,0.04115
0.12600,5.00000,4.59262,0.04074
0.12650,5.00000,4.59666,0.04033
