time,v_1,v_2
0.00000,0.00000,0.00000
0.00050,10.00000,9.97506
0.00100,10.00000,9.95018
0.00150,10.00000,9.92537
0.00200,10.00000,9.90062
0.00250,10.00000,9.87593
0.00300,10.00000,9.85130
0.00350,10.00000,9.82673
0.00400,10.00000,9.80222
0.00450,10.00000,9.77778
0.00500,10.00000,9.75339
0.00550,10.00000,9.72907
0.00600,10.00000,9.70481
0.00650,10.00000,9.68060
0.00700,10.00000,9.65646
0.00750,10.00000,9.63238
0.00800,10.00000,9.60836
0.00850,10.00000,9.58440
0.00900,10.00000,9.56049
0.00950,10.00000,9.53665
0.01000,10.00000,9.51287
0.01050,10.00000,9.48914
0.01100,10.00000,9.46548
0.01150,10.00000,9.44187
0.01200,10.00000,9.41833
0.01250,10.00000,9.39484
0.01300,10.00000,9.37141
0.01350,10.00000,9.34804
0.01400,10.00000,9.32473
0.01450,10.00000,9.30147
0.01500,10.00000,9.27827
0.01550,10.00000,9.25514
0.01600,10.00000,9.23205
0.01650,10.00000,9.20903
0.01700,10.00000,9.18606
0.01750,10.00000,9.16316
0.01800,10.00000,9.14030
0.01850,10.00000,9.11751
0.01900,10.00000,9.09477
0.01950,10.00000,9.07209
0.02000,10.00000,9.04946
0.02050,10.00000,9.02690
0.02100,10.00000,9.00438
0.02150,10.00000,8.98193
0.02200,10.00000,8.95953
0.02250,10.00000,8.93718
0.02300,10.00000,8.91490
0.02350,10.00000,8.89266
0.02400,10.00000,8.87048
0.02450,10.00000,8.84836
0.02500,10.00000,8.82629
0.02550,10.00000,8.80428
0.02600,10.00000,8.78233
0.02650,10.00000,8.76042
0.02700,10.00000,8.73858
0.02750,10.00000,8.71678
0.02800,10.00000,8.69504
0.02850,10.00000,8.67336
0.02900,10.00000,8.65173
0.02950,10.00000,8.63015
0.03000,10.00000,8.60863
0.03050,10.00000,8.58716
0.03100,10.00000,8.56574
0.03150,10.00000,8.54438
0.03200,10.00000,8.52307
0.03250,10.00000,8.50182
0.03300,10.00000,8.48061
0.03350,10.00000,8.45947
0.03400,10.00000,8.43837
0.03450,10.00000,8.41732
0.03500,10.00000,8.39633
0.03550,10.00000,8.37539
0.03600,10.00000,8.35451
0.03650,10.00000,8.33367
0.03700,10.00000,8.31289
0.03750,10.00000,8.29216
0.03800,10.00000,8.27148
0.03850,10.00000,8.25085
0.03900,10.00000,8.23028
0.03950,10.00000,8.20975
0.04000,10.00000,8.18928
0.04050,10.00000,8.16886
0.04100,10.00000,8.14849
0.04150,10.00000,8.12817
0.04200,10.00000,8.10789
0.04250,10.00000,8.08768
0.04300,10.00000,8.06751
0.04350,10.00000,8.04739
0.04400,10.00000,8.02732
0.04450,10.00000,8.00730
0.04500,10.00000,7.98733
0.04550,10.00000,7.96741
0.04600,10.00000,7.94754
0.04650,10.00000,7.92772
0.04700,10.00000,7.90795
0.04750,10.00000,7.88823
0.04800,10.00000,7.86856
0.04850,10.00000,7.84894
0.04900,10.00000,7.82937
0.04950,10.00000,7.80984
0.05000,10.00000,7.79036
0.05050,10.00000,7.77094
0.05100,10.00000,7.75156
0.05150,10.00000,7.73223
0.05200,10.00000,7.71294
0.05250,10.00000,7.69371
0.05300,10.00000,7.67452
0.05350,10.00000,7.65538
0.05400,10.00000,7.63629
0.05450,10.00000,7.61725
0.05500,10.00000,7.59825
0.05550,10.00000,7.57930
0.05600,10.00000,7.56040
0.05650,10.00000,7.54155
0.05700,10.00000,7.52274
0.05750,10.00000,7.50398
0.05800,10.00000,7.48527
0.05850,10.00000,7.46661
0.05900,10.00000,7.44799
0.05950,10.00000,7.42941
0.06000,10.00000,7.41089
0.06050,10.00000,7.39241
0.06100,10.00000,7.37397
0.06150,10.00000,7.35558
0.06200,10.00000,7.33724
0.06250,10.00000,7.31895
0.06300,10.00000,7.30069
0.06350,10.00000,7.28249
0.06400,10.00000,7.26433
0.06450,10.00000,7.24621
0.06500,10.00000,7.22814
0.06550,10.00000,7.21012
0.06600,10.00000,7.19214
0.06650,10.00000,7.17420
0.06700,10.00000,7.15631
0.06750,10.00000,7.13847
0.06800,10.00000,7.12067
